#The local date and time: 	Wed Aug 11 19:46:54 2021

#RESULTS , Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/test_pcap_output/a15M.pcap
#This file contains the flow five tuple, label and prediction result
#five tuple are the biflow info which is examined for training OR classification
#label : can have values according to translator function see translator.cpp
#label = -1 this is undefined label(unknown)
#label = 254 this means the flow is not found in GTfile 
#prediction : can have values according to the classificaton classes defined 
#in ANN classification with its trained model
#prediction = -1 this means the value is not defined - should be only in training phase
FlowID	Src_ip_address	Dst_ip_address	pro	s_p	d_p	label	pred	pckts
4087560576	138.68.65.189	138.68.92.16	6	54432	8011	0	0	5
557402944	138.68.65.189	134.122.80.82	6	43140	7005	1	1	5
2762102304	138.68.65.189	138.197.177.67	6	52330	4004	1	1	5
617205248	138.68.65.189	134.122.80.82	6	40134	2000	0	0	5
3087678016	138.68.65.189	138.68.92.16	6	46984	8010	0	0	5
621827680	138.68.65.189	134.122.80.82	6	41526	2009	0	0	5
2416515072	138.68.65.189	138.197.177.67	6	46848	7010	1	1	5
596605408	138.68.65.189	138.197.177.67	6	39644	4010	1	1	5
3352504976	138.68.65.189	138.68.92.16	6	51372	3007	1	1	5
2793711296	138.68.65.189	138.68.92.16	6	50480	8005	0	0	5
2106044992	138.68.65.189	138.68.92.16	6	51376	3007	1	1	5
3002991456	138.68.65.189	134.122.80.82	6	39842	2011	0	0	5
1943328792	138.68.65.189	138.68.92.16	6	36046	3009	1	1	5
2133057536	138.68.65.189	138.68.92.16	6	47584	8000	0	0	3
4066617280	138.68.65.189	138.197.177.67	6	34704	4011	1	1	5
1049710048	138.68.65.189	138.197.177.67	6	39448	7009	1	1	5
910476480	138.68.65.189	134.122.80.82	6	39902	2010	0	0	5
1811595840	138.68.65.189	138.197.177.67	6	38576	7007	1	1	5
2349633512	138.68.65.189	138.197.177.67	6	43250	4001	1	1	5
1235977248	138.68.65.189	134.122.80.82	6	42802	7001	1	1	5
2623008664	138.68.65.189	138.197.177.67	6	43386	7011	1	1	5
2624713488	138.68.65.189	138.197.177.67	6	43388	7011	1	1	5
2556780288	138.68.65.189	138.197.177.67	6	45880	4008	1	1	5
3019667824	138.68.65.189	138.68.92.16	6	40882	8006	0	0	5
1692895104	138.68.65.189	138.197.177.67	6	46896	7010	1	1	5
935008256	138.68.65.189	138.68.92.16	6	60288	8004	0	0	5
2500844864	138.68.65.189	134.122.80.82	6	34572	2007	0	0	5
1361169792	138.68.65.189	134.122.80.82	6	42842	7004	1	1	5
4074062816	138.68.65.189	134.122.80.82	6	34578	2007	0	0	5
1383086592	138.68.65.189	138.197.177.67	6	45904	4008	1	1	5
1854482440	138.68.65.189	138.68.92.16	6	47178	8009	0	0	5
3191518584	138.68.65.189	138.197.177.67	6	45782	4009	1	1	5
236584576	138.68.65.189	138.68.65.189	6	52432	6010	0	0	5
3999335296	138.68.65.189	138.68.92.16	6	46220	8008	0	0	5
1845891280	138.68.65.189	138.197.177.67	6	43300	4001	1	1	5
3532493192	138.68.65.189	138.68.65.189	6	39626	3001	1	1	5
3686451904	138.68.65.189	134.122.80.82	6	47174	2002	0	0	5
1437490264	138.68.65.189	138.68.92.16	6	50566	8005	0	0	5
677715544	138.68.65.189	138.68.92.16	6	36126	3009	1	1	5
3240611048	138.68.65.189	138.197.177.67	6	34826	4005	1	1	5
2438763520	138.68.65.189	138.68.92.16	6	38332	3008	1	1	5
3553613352	138.68.65.189	138.68.65.189	6	53290	3005	1	1	5
1586372528	138.68.65.189	138.68.65.189	6	39644	3001	1	1	5
797245472	138.68.65.189	138.68.65.189	6	34216	6009	0	0	5
2363386912	138.68.65.189	134.122.80.82	6	46166	2003	0	0	5
2960729440	138.68.65.189	138.197.177.67	6	34840	4005	1	1	5
1008100176	138.68.65.189	138.197.177.67	6	43332	4001	1	1	5
1695762560	138.68.65.189	134.122.80.82	6	49402	2004	0	0	5
563018976	138.68.65.189	134.122.80.82	6	57678	2001	0	0	5
72108736	138.68.65.189	138.197.177.67	6	38672	7007	1	1	5
3511469056	138.68.65.189	138.197.177.67	6	59960	7008	1	1	5
1702236416	138.68.65.189	134.122.80.82	6	51494	2008	0	0	5
2814990880	138.68.65.189	138.197.177.67	6	44206	4012	1	1	5
1442370888	138.68.65.189	138.68.65.189	6	37286	6007	0	0	5
191125248	138.68.65.189	134.122.80.82	6	57028	2012	0	0	5
3239879168	138.68.65.189	138.68.92.16	6	38374	3008	1	1	5
1960003184	138.68.65.189	138.68.92.16	6	40978	8006	0	0	5
1196854232	138.68.65.189	138.68.65.189	6	53334	3005	1	1	5
2984180232	138.68.65.189	138.197.177.67	6	38694	7007	1	1	5
3847134872	138.68.65.189	138.68.92.16	6	35054	8001	0	1	3
155202672	138.68.65.189	138.197.177.67	6	46998	7010	1	1	5
2965541376	138.68.65.189	134.122.80.82	6	39776	7003	1	1	5
2191506408	138.68.65.189	138.197.177.67	6	55590	4003	1	1	5
3170368672	138.68.65.189	138.197.177.67	6	44230	4012	1	1	5
2192496576	138.68.65.189	138.68.65.189	6	38772	3004	1	1	5
