inst,label,pred,error,prediction
1,13,13,,0.999
2,13,13,,0.999
3,13,13,,0.999
4,13,13,,0.997
5,13,13,,0.999
6,13,13,,0.999
7,13,13,,0.997
8,13,13,,0.999
9,13,13,,0.999
10,13,13,,0.999
11,13,13,,0.999
12,13,13,,0.999
13,13,13,,1
14,13,13,,0.999
15,13,13,,0.999
16,13,13,,1
17,13,13,,0.999
18,13,13,,0.999
19,7,7,,0.991
20,7,7,,0.991
21,0,0,,0.967
22,13,13,,0.999
23,13,13,,0.999
24,10,11,+,0.395
25,0,0,,0.979
26,0,0,,0.977
27,13,13,,0.999
28,13,13,,0.999
29,9,9,,0.36
30,13,13,,0.999
31,13,13,,0.999
32,13,13,,0.999
33,5,2,+,0.677
34,6,5,+,0.126
35,6,5,+,0.129
36,5,5,,0.131
37,1,5,+,0.129
38,6,5,+,0.127
39,12,5,+,0.125
40,7,5,+,0.128
41,0,5,+,0.131
42,10,5,+,0.129
43,0,5,+,0.126
44,0,5,+,0.125
45,0,5,+,0.129
46,13,13,,0.999
47,0,5,+,0.128
48,13,13,,0.999
49,13,13,,0.999
50,13,13,,0.999
51,13,13,,0.999
52,13,13,,0.998
53,13,13,,0.999
54,13,13,,0.999
55,3,5,+,0.127
56,13,13,,0.999
57,13,13,,0.999
58,2,5,+,0.134
59,13,13,,0.999
60,8,5,+,0.125
61,13,13,,0.999
62,13,13,,1
63,13,13,,0.999
64,13,13,,0.999
65,13,13,,0.999
66,13,13,,0.999
67,13,13,,0.996
68,13,13,,0.999
69,13,13,,0.999
70,13,13,,0.999
71,13,13,,0.999
72,13,13,,0.997
73,13,13,,0.998
74,13,13,,0.999
75,13,13,,0.996
76,13,13,,0.999
77,13,13,,0.999
78,13,13,,0.999
79,13,13,,0.999
80,13,13,,1
81,13,13,,0.999
82,13,13,,0.999
83,13,13,,0.999
84,13,13,,0.999
85,13,13,,0.999
86,7,7,,0.991
87,7,7,,0.801
88,13,13,,0.999
89,13,13,,0.999
90,13,13,,0.999
91,13,13,,0.999
92,5,5,,0.524
93,5,5,,0.126
94,6,5,+,0.13
95,6,5,+,0.125
96,5,5,,0.127
97,1,5,+,0.135
98,6,5,+,0.126
99,1,5,+,0.132
100,12,5,+,0.125
101,10,5,+,0.127
102,11,5,+,0.127
103,9,5,+,0.129
104,13,13,,0.999
105,13,13,,0.999
106,0,5,+,0.125
107,13,13,,0.999
108,13,13,,0.999
109,13,13,,0.999
110,13,13,,0.999
111,13,13,,0.999
112,3,5,+,0.131
113,3,5,+,0.13
114,13,13,,0.999
115,13,13,,0.999
116,13,13,,0.999
117,13,13,,0.998
118,13,13,,0.999
119,13,13,,0.999
120,13,13,,0.999
