inst,label,pred,error,prediction
1,4,4,,0.999
2,5,5,,0.999
3,4,4,,0.999
4,4,4,,0.998
5,5,5,,0.997
6,5,5,,0.791
7,4,4,,0.999
8,5,5,,0.885
9,5,5,,0.617
10,5,5,,0.896
11,5,5,,0.737
12,5,5,,0.901
13,4,4,,0.999
14,5,5,,0.752
15,5,5,,0.999
16,4,4,,0.999
17,3,5,+,0.716
18,3,3,,0.843
19,2,2,,0.996
20,2,2,,0.996
21,2,2,,0.996
22,3,5,+,0.56
23,3,3,,0.77
24,2,2,,0.996
25,2,2,,0.996
26,2,2,,0.996
27,3,5,+,0.725
28,3,3,,0.803
29,2,2,,0.996
30,3,3,,0.831
31,3,5,+,0.655
32,3,3,,0.84
33,2,2,,0.996
34,0,0,,0.999
35,0,0,,0.999
36,0,0,,0.996
37,0,0,,0.999
38,0,0,,0.999
39,0,0,,0.999
40,0,0,,0.999
41,0,0,,0.999
42,0,0,,0.996
43,0,0,,0.999
44,0,0,,0.999
45,0,0,,0.997
46,5,5,,0.997
47,0,0,,0.999
48,5,5,,0.996
49,5,5,,0.997
50,5,5,,0.997
51,5,5,,0.998
52,5,5,,0.652
53,5,5,,0.997
54,5,5,,0.981
55,0,0,,0.998
56,5,3,+,0.853
57,5,5,,0.997
58,0,0,,0.996
59,5,5,,0.997
60,0,0,,0.997
61,4,4,,0.999
62,4,4,,0.998
63,4,4,,0.998
64,5,5,,0.871
65,5,5,,0.888
66,5,5,,0.623
67,4,4,,0.998
68,5,5,,0.885
69,5,5,,0.653
70,5,5,,0.996
71,5,3,+,0.597
72,4,4,,1
73,4,4,,0.999
74,5,5,,0.998
75,4,4,,0.998
76,5,5,,0.877
77,5,5,,0.855
78,5,5,,0.593
79,5,5,,0.862
80,4,4,,0.998
81,3,3,,0.826
82,3,3,,0.831
83,3,3,,0.818
84,3,3,,0.84
85,3,5,+,0.892
86,2,2,,0.996
87,2,2,,0.996
88,3,3,,0.737
89,3,5,+,0.885
90,3,3,,0.744
91,3,3,,0.842
92,2,2,,0.996
93,0,0,,0.999
94,0,0,,0.999
95,0,0,,0.999
96,0,0,,0.999
97,0,0,,0.996
98,0,0,,0.997
99,0,0,,0.996
100,0,0,,0.999
101,0,0,,0.996
102,0,0,,0.999
103,0,0,,0.996
104,5,5,,0.997
105,5,5,,0.997
106,0,0,,0.997
107,5,5,,0.979
108,5,5,,0.872
109,5,3,+,0.869
110,5,5,,0.997
111,5,5,,0.997
112,0,0,,0.997
113,0,0,,0.997
114,5,5,,0.997
115,5,5,,0.998
116,5,5,,0.951
117,5,5,,0.98
118,5,5,,0.998
119,5,5,,0.997
120,5,5,,0.997
121,0,0,,0.999
122,5,5,,0.993
123,5,5,,0.997
124,0,0,,0.996
125,5,5,,0.996
126,5,5,,0.997
127,0,0,,0.997
128,0,0,,0.999
129,0,0,,0.999
130,0,0,,0.999
131,4,4,,0.999
132,4,4,,0.999
133,4,4,,0.998
134,4,4,,0.999
135,4,4,,0.999
136,4,4,,0.998
137,4,4,,0.999
138,4,4,,0.999
139,5,5,,0.871
140,4,4,,0.999
141,5,5,,0.885
142,5,5,,0.818
143,4,4,,0.999
144,4,4,,0.999
145,5,5,,0.999
146,4,4,,0.999
147,5,5,,0.886
148,4,4,,0.994
149,4,4,,1
150,4,4,,0.999
151,4,4,,0.999
152,5,5,,0.996
153,5,5,,0.885
154,4,4,,0.999
155,5,5,,0.776
156,5,5,,0.999
157,5,5,,0.885
158,4,4,,0.999
159,4,4,,1
160,4,4,,0.999
161,3,3,,0.998
162,3,3,,0.999
163,1,1,,0.999
164,1,1,,0.994
165,1,1,,0.998
166,1,1,,0.998
167,1,1,,0.998
168,1,1,,0.998
169,1,1,,0.999
170,1,1,,0.998
171,1,1,,0.999
172,1,1,,0.994
173,1,1,,0.994
174,1,1,,0.998
175,1,1,,0.998
176,1,1,,0.998
177,2,2,,0.995
178,2,2,,0.996
179,2,2,,0.996
180,2,2,,0.996
181,2,2,,0.996
182,3,5,+,0.839
183,3,5,+,0.71
184,3,3,,0.81
185,3,3,,0.807
186,2,2,,0.996
187,2,2,,0.996
188,2,2,,0.996
189,3,3,,0.838
190,2,2,,0.996
191,2,2,,0.995
192,2,2,,0.996
193,3,3,,0.628
194,2,2,,0.996
195,2,2,,0.996
196,2,2,,0.996
197,3,3,,0.823
198,3,3,,0.854
199,2,2,,0.996
200,2,2,,0.996
201,2,2,,0.995
202,2,2,,0.996
203,2,2,,0.996
204,2,2,,0.996
205,0,0,,0.996
206,0,0,,0.999
207,0,0,,0.999
208,0,0,,0.999
209,0,0,,0.999
210,0,0,,0.999
211,0,0,,0.999
212,0,0,,0.996
213,0,0,,0.996
214,0,0,,0.995
215,0,0,,0.999
216,5,5,,0.998
217,0,0,,0.997
218,5,3,+,0.829
219,0,0,,0.997
220,0,0,,0.997
221,5,5,,0.997
222,5,5,,0.997
223,5,3,+,0.775
224,0,0,,0.999
225,0,0,,0.999
226,5,5,,0.997
227,5,5,,0.997
228,5,5,,0.996
229,0,0,,0.996
230,0,0,,0.996
231,5,5,,0.978
232,5,5,,0.997
233,5,5,,0.998
234,0,0,,0.996
235,0,0,,0.999
236,5,5,,0.997
237,0,0,,0.996
238,0,0,,0.996
239,0,0,,0.998
240,0,0,,0.999
241,4,4,,0.999
242,4,4,,0.998
243,4,4,,0.999
244,4,4,,0.999
245,4,4,,0.999
246,4,4,,1
247,4,4,,0.988
248,4,4,,0.999
249,4,4,,0.999
250,4,4,,0.999
251,4,4,,0.998
252,4,4,,0.997
253,4,4,,0.999
254,4,4,,0.999
255,4,4,,0.997
256,5,5,,0.854
257,4,4,,0.998
258,4,4,,0.999
259,4,4,,0.997
260,4,4,,0.999
261,5,5,,0.895
262,4,4,,0.999
263,5,5,,0.999
264,5,5,,0.885
265,5,5,,0.891
266,4,4,,0.999
267,5,5,,0.874
268,4,4,,0.999
269,4,4,,1
270,5,5,,0.89
271,4,4,,0.999
272,5,5,,0.999
273,4,4,,0.999
274,5,5,,0.845
275,5,5,,0.829
276,4,4,,0.998
277,4,4,,0.999
278,4,4,,0.999
279,5,5,,0.999
280,5,5,,0.856
281,5,5,,0.879
282,4,4,,0.998
283,4,4,,0.997
284,5,5,,0.887
285,4,4,,0.998
286,5,5,,0.885
287,5,3,+,0.533
288,5,5,,0.885
289,4,4,,0.999
290,4,4,,0.999
291,4,4,,0.999
292,4,4,,0.997
293,5,5,,0.975
294,5,5,,0.922
295,5,5,,0.608
296,4,4,,0.999
297,4,4,,0.999
298,4,4,,0.999
299,4,4,,0.999
300,4,4,,0.999
301,3,3,,0.998
302,3,3,,0.999
303,3,3,,0.999
304,1,1,,0.999
305,1,1,,0.994
306,1,1,,0.994
307,1,1,,0.998
308,1,1,,0.998
309,3,3,,0.998
310,1,1,,0.998
311,1,1,,0.994
312,3,3,,0.999
313,3,3,,0.999
314,3,3,,0.999
315,3,3,,0.999
316,1,1,,0.998
317,1,1,,0.998
318,3,3,,0.999
