#The local date and time: 	Fri Aug 13 11:09:16 2021

#RESULTS , Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/test_pcap_output/a15M.pcap
#This file contains the flow five tuple, label and prediction result
#five tuple are the biflow info which is examined for training OR classification
#label : can have values according to translator function see translator.cpp
#label = -1 this is undefined label(unknown)
#label = 254 this means the flow is not found in GTfile 
#prediction : can have values according to the classificaton classes defined 
#in ANN classification with its trained model
#prediction = -1 this means the value is not defined - should be only in training phase
FlowID	Src_ip_address	Dst_ip_address	pro	s_p	d_p	label	pred	pckts
4087560576	138.68.65.189	138.68.92.16	6	54432	8011	2	2	5
557402944	138.68.65.189	134.122.80.82	6	43140	7005	5	5	5
2762102304	138.68.65.189	138.197.177.67	6	52330	4004	4	4	5
617205248	138.68.65.189	134.122.80.82	6	40134	2000	0	0	5
3087678016	138.68.65.189	138.68.92.16	6	46984	8010	2	2	5
621827680	138.68.65.189	134.122.80.82	6	41526	2009	0	0	5
2416515072	138.68.65.189	138.197.177.67	6	46848	7010	5	5	5
596605408	138.68.65.189	138.197.177.67	6	39644	4010	4	4	5
3352504976	138.68.65.189	138.68.92.16	6	51372	3007	3	5	5
2793711296	138.68.65.189	138.68.92.16	6	50480	8005	2	2	5
2106044992	138.68.65.189	138.68.92.16	6	51376	3007	3	5	5
3002991456	138.68.65.189	134.122.80.82	6	39842	2011	0	0	5
1943328792	138.68.65.189	138.68.92.16	6	36046	3009	3	5	5
2133057536	138.68.65.189	138.68.92.16	6	47584	8000	2	0	3
4066617280	138.68.65.189	138.197.177.67	6	34704	4011	4	4	5
1049710048	138.68.65.189	138.197.177.67	6	39448	7009	5	5	5
910476480	138.68.65.189	134.122.80.82	6	39902	2010	0	0	5
1811595840	138.68.65.189	138.197.177.67	6	38576	7007	5	5	5
2349633512	138.68.65.189	138.197.177.67	6	43250	4001	4	4	5
1235977248	138.68.65.189	134.122.80.82	6	42802	7001	5	5	5
2623008664	138.68.65.189	138.197.177.67	6	43386	7011	5	5	5
2624713488	138.68.65.189	138.197.177.67	6	43388	7011	5	5	5
2556780288	138.68.65.189	138.197.177.67	6	45880	4008	4	4	5
3019667824	138.68.65.189	138.68.92.16	6	40882	8006	2	2	5
1692895104	138.68.65.189	138.197.177.67	6	46896	7010	5	5	5
935008256	138.68.65.189	138.68.92.16	6	60288	8004	2	2	5
2500844864	138.68.65.189	134.122.80.82	6	34572	2007	0	0	5
1361169792	138.68.65.189	134.122.80.82	6	42842	7004	5	5	5
4074062816	138.68.65.189	134.122.80.82	6	34578	2007	0	0	5
1383086592	138.68.65.189	138.197.177.67	6	45904	4008	4	4	5
1854482440	138.68.65.189	138.68.92.16	6	47178	8009	2	2	5
3191518584	138.68.65.189	138.197.177.67	6	45782	4009	4	4	5
236584576	138.68.65.189	138.68.65.189	6	52432	6010	1	1	5
3999335296	138.68.65.189	138.68.92.16	6	46220	8008	2	2	5
1845891280	138.68.65.189	138.197.177.67	6	43300	4001	4	4	5
3532493192	138.68.65.189	138.68.65.189	6	39626	3001	3	3	5
3686451904	138.68.65.189	134.122.80.82	6	47174	2002	0	0	5
1437490264	138.68.65.189	138.68.92.16	6	50566	8005	2	2	5
677715544	138.68.65.189	138.68.92.16	6	36126	3009	3	5	5
3240611048	138.68.65.189	138.197.177.67	6	34826	4005	4	4	5
2438763520	138.68.65.189	138.68.92.16	6	38332	3008	3	5	5
3553613352	138.68.65.189	138.68.65.189	6	53290	3005	3	5	5
1586372528	138.68.65.189	138.68.65.189	6	39644	3001	3	3	5
797245472	138.68.65.189	138.68.65.189	6	34216	6009	1	1	5
2363386912	138.68.65.189	134.122.80.82	6	46166	2003	0	0	5
2960729440	138.68.65.189	138.197.177.67	6	34840	4005	4	4	5
1008100176	138.68.65.189	138.197.177.67	6	43332	4001	4	5	5
1695762560	138.68.65.189	134.122.80.82	6	49402	2004	0	0	5
563018976	138.68.65.189	134.122.80.82	6	57678	2001	0	0	5
72108736	138.68.65.189	138.197.177.67	6	38672	7007	5	5	5
3511469056	138.68.65.189	138.197.177.67	6	59960	7008	5	5	5
1702236416	138.68.65.189	134.122.80.82	6	51494	2008	0	0	5
2814990880	138.68.65.189	138.197.177.67	6	44206	4012	4	4	5
1442370888	138.68.65.189	138.68.65.189	6	37286	6007	1	1	5
191125248	138.68.65.189	134.122.80.82	6	57028	2012	0	0	5
3239879168	138.68.65.189	138.68.92.16	6	38374	3008	3	5	5
1960003184	138.68.65.189	138.68.92.16	6	40978	8006	2	2	5
1196854232	138.68.65.189	138.68.65.189	6	53334	3005	3	3	5
2984180232	138.68.65.189	138.197.177.67	6	38694	7007	5	5	5
3847134872	138.68.65.189	138.68.92.16	6	35054	8001	2	3	3
155202672	138.68.65.189	138.197.177.67	6	46998	7010	5	5	5
2965541376	138.68.65.189	134.122.80.82	6	39776	7003	5	5	5
2191506408	138.68.65.189	138.197.177.67	6	55590	4003	4	4	5
3170368672	138.68.65.189	138.197.177.67	6	44230	4012	4	4	5
2192496576	138.68.65.189	138.68.65.189	6	38772	3004	3	3	5
4448512	138.68.65.189	138.197.177.67	6	47008	7010	5	5	5
3775143040	138.68.65.189	134.122.80.82	6	55592	2005	0	0	5
1693409024	138.68.65.189	134.122.80.82	6	55600	2005	0	0	5
917794528	138.68.65.189	138.197.177.67	6	52518	4004	4	4	5
914288192	138.68.65.189	134.122.80.82	6	57142	2006	0	0	5
3674354688	138.68.65.189	134.122.80.82	6	40324	2000	0	0	5
296661920	138.68.65.189	138.68.92.16	6	47634	3012	3	5	5
1675508096	138.68.65.189	138.68.92.16	6	46332	8008	2	2	5
945537632	138.68.65.189	134.122.80.82	6	41718	2009	0	0	5
2587812176	138.68.65.189	138.68.92.16	6	55266	8002	2	2	5
11979968	138.68.65.189	138.68.92.16	6	47644	3012	3	2	5
2181661272	138.68.65.189	138.68.92.16	6	35102	8001	2	5	3
1232854832	138.68.65.189	138.68.65.189	6	53388	3005	3	3	5
2739775680	138.68.65.189	134.122.80.82	6	47286	2002	0	0	5
181784896	138.68.65.189	134.122.80.82	6	40082	2010	0	0	5
355224384	138.68.65.189	138.68.65.189	6	42366	3000	3	3	5
454838656	138.68.65.189	134.122.80.82	6	34728	2007	0	0	5
3570159168	138.68.65.189	138.68.65.189	6	38828	3004	3	3	5
2049364272	138.68.65.189	138.68.65.189	6	43754	6006	1	1	5
1209151136	138.68.65.189	138.197.177.67	6	39860	4010	4	4	5
3076868576	138.68.65.189	134.122.80.82	6	34738	2007	0	0	5
3018152288	138.68.65.189	138.68.65.189	6	51268	3006	3	3	5
2517827344	138.68.65.189	138.68.92.16	6	47218	8010	2	2	5
282376512	138.68.65.189	138.68.65.189	6	38844	3004	3	3	5
1108645888	138.68.65.189	134.122.80.82	6	40064	2011	0	0	5
1832793344	138.68.65.189	134.122.80.82	6	43020	7004	5	5	5
117598616	138.68.65.189	138.68.92.16	6	36270	3009	3	5	5
3121812336	138.68.65.189	138.197.177.67	6	54772	4007	4	4	5
1244693128	138.68.65.189	138.197.177.67	6	38790	7007	5	5	5
2288586496	138.68.65.189	134.122.80.82	6	51610	2008	0	0	5
1952330144	138.68.65.189	138.68.65.189	6	38862	3004	3	4	5
436244480	138.68.65.189	138.197.177.67	6	54048	4000	4	4	5
2412894336	138.68.65.189	134.122.80.82	6	40088	2011	0	0	5
3560874112	138.68.65.189	134.122.80.82	6	40660	7002	5	5	5
1155079288	138.68.65.189	138.197.177.67	6	45974	4009	4	4	5
2314173600	138.68.65.189	138.68.92.16	6	47714	3012	3	5	5
3788753120	138.68.65.189	138.197.177.67	6	34952	4011	4	4	5
2777710304	138.68.65.189	134.122.80.82	6	34786	2007	0	0	5
914734592	138.68.65.189	134.122.80.82	6	49560	2004	0	0	5
2620000800	138.68.65.189	138.197.177.67	6	43496	4001	4	4	5
4169245184	138.68.65.189	134.122.80.82	6	43064	7004	5	5	5
2829001216	138.68.65.189	134.122.80.82	6	40426	2000	0	0	5
3401467008	138.68.65.189	138.68.65.189	6	42444	3000	3	3	5
2342281472	138.68.65.189	134.122.80.82	6	57180	2012	0	0	5
2463749888	138.68.65.189	134.122.80.82	6	43076	7004	5	2	5
2060967936	138.68.65.189	138.197.177.67	6	39936	4010	4	4	5
3095922144	138.68.65.189	138.197.177.67	6	44370	4012	4	4	5
2795259632	138.68.65.189	138.197.177.67	6	57442	4006	4	2	5
1037435072	138.68.65.189	134.122.80.82	6	57266	2006	0	0	5
2991309568	138.68.65.189	138.197.177.67	6	46016	4009	4	4	5
610985440	138.68.65.189	134.122.80.82	6	41838	2009	0	0	5
3775661152	138.68.65.189	138.68.65.189	6	40754	6012	1	1	5
1347152928	138.68.65.189	138.68.92.16	6	52606	8012	2	2	5
1455219064	138.68.65.189	138.68.92.16	6	51650	8003	2	2	5
4162245504	138.68.65.189	134.122.80.82	6	41848	2009	0	0	5
630976176	138.68.65.189	138.68.92.16	6	44702	3010	3	2	5
276664952	138.68.65.189	138.197.177.67	6	39750	7009	5	2	5
64152192	138.68.65.189	134.122.80.82	6	47412	2002	0	0	5
594878664	138.68.65.189	138.68.92.16	6	36362	3009	3	5	5
2958321024	138.68.65.189	134.122.80.82	6	40732	7002	5	5	5
1565080912	138.68.65.189	138.197.177.67	6	35020	4011	4	4	5
1766441088	138.68.65.189	134.122.80.82	6	39960	7003	5	5	5
2674831040	138.68.65.189	134.122.80.82	6	41868	2009	0	0	5
2883846736	138.68.65.189	138.197.177.67	6	43692	7011	5	5	5
2940642592	138.68.65.189	138.68.65.189	6	45618	6004	1	1	5
1726874512	138.68.65.189	138.68.92.16	6	50820	8005	2	2	5
3116864000	138.68.65.189	138.68.92.16	6	38582	3008	3	5	5
781643136	138.68.65.189	134.122.80.82	6	47436	2002	0	0	5
3690156160	138.68.65.189	138.197.177.67	6	35040	4011	4	4	5
675084048	138.68.65.189	138.68.65.189	6	51398	3006	3	3	5
2326216576	138.68.65.189	134.122.80.82	6	40236	2010	0	0	5
2999469248	138.68.65.189	138.197.177.67	6	44436	4012	4	4	5
11277632	138.68.65.189	134.122.80.82	6	40242	2010	0	0	5
4162055520	138.68.65.189	138.197.177.67	6	44442	4012	4	4	5
832484480	138.68.65.189	138.68.92.16	6	52664	8012	2	2	5
395752944	138.68.65.189	138.68.65.189	6	53564	3005	3	3	5
1398070112	138.68.65.189	138.68.65.189	6	34488	6009	1	1	5
1015287264	138.68.65.189	138.197.177.67	6	36150	7012	5	5	5
1576289296	138.68.65.189	138.68.92.16	6	44762	3010	3	5	5
1161919864	138.68.65.189	138.68.65.189	6	39926	3001	3	3	5
2640012768	138.68.65.189	138.197.177.67	6	40028	4010	4	4	5
2310720032	138.68.65.189	138.197.177.67	6	44462	4012	4	4	5
1764288320	138.68.65.189	138.68.65.189	6	39004	3004	3	3	5
2704970816	138.68.65.189	138.68.92.16	6	51760	3007	3	5	5
561307360	138.68.65.189	138.68.92.16	6	55468	8002	2	2	5
4159473384	138.68.65.189	138.68.65.189	6	39938	3001	3	3	5
2614061984	138.68.65.189	134.122.80.82	6	43554	7005	5	5	5
3028766880	138.68.65.189	134.122.80.82	6	34918	2007	0	0	5
3444154256	138.68.65.189	138.68.65.189	6	51446	3006	3	3	5
2663943904	138.68.65.189	134.122.80.82	6	57966	2001	0	0	5
840961808	138.68.65.189	138.68.92.16	6	35316	8001	2	5	3
1123016496	138.68.65.189	138.197.177.67	6	40054	4010	4	4	5
2035900512	138.68.65.189	138.68.92.16	6	40200	8007	2	2	5
3138712064	138.68.65.189	134.122.80.82	6	49704	2004	0	0	5
1053005568	138.68.65.189	134.122.80.82	6	49708	2004	0	0	5
2128801456	138.68.65.189	138.68.65.189	6	43962	6006	1	1	5
2847479192	138.68.65.189	138.68.92.16	6	51794	3007	3	5	5
3991459264	138.68.65.189	138.68.65.189	6	42586	3000	3	3	5
909724160	138.68.65.189	138.197.177.67	6	54228	4000	4	4	5
1353808992	138.68.65.189	138.68.92.16	6	41268	8006	2	2	5
3564210400	138.68.65.189	138.68.65.189	6	51476	3006	3	3	5
958050576	138.68.65.189	138.68.92.16	6	36468	3009	3	5	5
2192503928	138.68.65.189	138.197.177.67	6	55874	4003	4	4	5
154362720	138.68.65.189	134.122.80.82	6	55870	2005	0	0	5
463981760	138.68.65.189	138.68.92.16	6	46590	8008	2	2	5
1378427904	138.68.65.189	138.197.177.67	6	60280	7008	5	5	5
440383360	138.68.65.189	138.68.65.189	6	57328	3002	3	3	5
735130640	138.68.65.189	138.68.92.16	6	40236	8007	2	4	3
554525728	138.68.65.189	138.68.65.189	6	41400	3003	3	3	5
1190375552	138.68.65.189	134.122.80.82	6	57420	2006	0	0	5
4205341680	138.68.65.189	138.68.92.16	6	44838	3010	3	5	5
