#The local date and time: 	Fri May 14 14:22:23 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
37	64	59	152	2739	241	3475	1387	14	0	0	0	12	12	5	48136128
61	21	38	17342	39	14698	1740	34	15	0	0	0	12	12	5	27459712
65	22	16	26156	39	30724	5788	66	21	0	0	0	14	14	5	1055443008
63	23	38	13118	37	14769	3896	43	18	0	0	0	9	9	5	1201867456
38	20	44	25756	32	30081	5825	35	15	0	0	0	10	10	5	1578473904
37	20	44	25609	31	29978	2426	36	16	0	0	0	10	10	5	2223073136
551	12	30	142	18	152	2209	21	9	0	0	0	8	8	3	4098946288
60	34	37	185	36	175	6251	39	17	0	0	0	7	7	5	3780264384
73	34	37	38551	34	44550	2190	37	14	0	0	0	11	11	5	3027051488
89	46	29	125	42	135	6399	48	19	0	0	0	9	9	5	1249287344
102	48	32	156	77	137	7866	52	19	0	0	0	8	8	5	3939643504
71	26	46	155	41	167	6446	45	19	0	0	0	8	8	5	257099840
104	44	29	134	42	136	6650	50	18	0	0	0	33	33	5	3559879632
70	17	35	26026	29	29870	3488	29	13	0	0	0	11	11	4	129896320
72	23	15	92	35	117	7509	35	17	0	0	0	9	9	5	2322078912
98	30	19	13251	41	14688	6046	48	22	0	0	0	10	10	5	608033680
84	26	18	26668	42	30683	5402	59	22	0	0	0	11	11	5	1520625696
41	18	59	14459	44	15336	2765	32	16	0	0	0	12	12	5	2906484672
34	15	9	25742	21	30084	2888	26	13	0	0	0	14	14	3	2378152480
22	11	15	13008	19	14588	7878	34	7	0	0	0	9	9	2	2114459472
132	58	30	155	39	134	6655	50	22	0	0	0	14	14	5	434903280
49	19	32	13094	28	14905	4533	37	20	0	0	0	13	13	5	2097007168
33	18	56	38913	30	44660	4560	31	14	0	0	0	13	13	5	3323541520
40	16	31	39870	31	46024	5145	41	16	0	0	0	12	12	5	1404519712
29	13	21	13317	35	15480	4136	27	14	0	0	0	14	14	3	300156416
46	19	25	81	54	133	3500	34	15	0	0	0	8	8	4	4149788080
17	10	35	13244	17	14923	6842	18	9	0	0	0	9	9	2	122813568
39	16	21	72	42	105	2663	27	13	0	0	0	7	7	3	1947997600
25	12	19	63	17	88	7345	19	9	0	0	0	9	9	2	2860589616
41	15	22	13710	26	15280	3098	30	13	0	0	0	11	11	3	1035405584
31	12	20	13740	21	14550	6604	27	11	0	0	0	7	7	3	3922312016
95	21	15	77	33	62	3366	34	16	0	0	0	8	8	5	148207616
105	32	19	13366	42	15760	4308	42	21	0	0	0	11	11	5	3081393152
73	25	24	13326	41	14458	5467	46	20	0	0	0	10	10	5	64965360
74	29	17	25632	40	30118	6854	92	24	0	0	0	48	48	5	977557376
66	20	13	51737	38	59477	6827	44	19	0	0	0	12	12	5	3179347856
42	19	11	13088	26	15355	22035	29	14	0	0	0	13	13	3	2778902688
4	4	8	38	7	51	208	4	2	0	0	0	8	8	1	1975642928
114	29	43	172	45	165	4356	48	20	0	0	0	12	12	5	3596650496
83	30	29	133	44	148	5285	47	21	0	0	0	9	9	5	2082051072
149	22	14	41123	38	45674	6012	50	19	0	0	0	12	12	5	567451648
30	14	64	108	35	197	2354	25	11	0	0	0	9	9	3	636415168
57	20	13	53	47	56	12048	28	14	0	0	0	9	9	4	3504607568
127	30	20	115	43	82	6015	47	22	0	0	0	10	10	5	665142188
51	17	21	241	30	232	3689	36	18	0	0	0	13	13	5	309822558
32	19	34	116	30	136	2165	43	16	0	0	0	16	16	3	149813280
87	24	15	94	35	61	3507	51	17	0	0	0	21	21	5	3465446400
29	14	33	122	23	139	3362	55	13	0	0	0	29	29	3	2230717024
140	27	53	99	53	129	7367	57	21	0	0	0	10	10	5	1833154080
120	26	19	13667	47	15551	9491	58	24	0	0	0	14	14	5	2252590336
112	30	19	13371	43	15663	6330	47	21	0	0	0	12	12	5	1319250896
86	24	17	13094	33	14448	6887	38	19	0	0	0	8	8	5	788061712
92	30	19	13082	41	14849	6449	49	22	0	0	0	27	27	5	1767370224
96	26	17	76	38	121	5168	39	19	0	0	0	8	8	5	2001093264
67	35	18	26103	37	30829	4229	39	21	0	0	0	11	11	5	3860547040
71	24	16	26259	57	30609	8240	46	23	0	0	0	14	14	5	3592554256
71	28	20	26325	37	30860	4411	43	21	0	0	0	11	11	5	1122770992
38	16	30	126	56	134	2432	29	11	0	0	0	8	8	3	2309540720
43	17	9	26747	27	29986	4680	30	13	0	0	0	13	13	3	3201139952
28	14	7	12814	19	14374	8779	20	7	0	0	0	8	8	2	1994600832
74	46	32	155	44	146	6474	45	21	0	0	0	10	10	5	1233048016
56	23	41	12962	31	14517	4817	41	19	0	0	0	8	8	5	1438525440
82	19	28	12973	31	14512	3917	40	17	0	0	0	10	10	5	4160216224
116	39	36	12984	41	14447	6257	60	26	0	0	0	11	11	5	94482560
84	43	19	12828	51	14485	6063	49	22	0	0	0	9	9	5	2564265824
133	28	50	103	41	145	21198	53	23	0	0	0	10	10	5	2950909344
103	27	27	14402	42	15108	5870	46	21	0	0	0	11	11	5	1007074576
42	15	12	12865	24	14505	2173	40	11	0	0	0	9	9	3	1530840960
32	16	20	15708	23	14508	5600	23	13	0	0	0	12	12	3	2777719120
68	39	22	141	33	109	12131	36	16	0	0	0	7	7	4	2014891728
17	9	56	86	48	112	1375	11	7	0	0	0	8	8	2	3095824672
15	10	17	13054	15	14421	726	14	8	0	0	0	9	9	2	2505454416
12	9	16	12908	16	14453	719	14	10	0	0	0	10	10	2	3213644720
43	17	25	109	29	119	16514	47	23	0	0	0	24	24	3	3072748224
82	22	40	13413	32	15029	4683	42	18	0	0	0	11	11	5	1827318288
144	26	19	13173	44	14959	7600	52	23	0	0	0	9	9	5	892263504
142	29	19	13146	41	15248	6357	55	58	0	0	0	14	14	5	3093168640
86	38	46	200	32	221	4697	44	19	0	0	0	8	8	5	3306854592
58	24	15	90	34	103	5405	34	17	0	0	0	8	8	5	661032528
153	30	25	148	49	163	4865	51	23	0	0	0	9	9	5	914854912
104	23	36	13561	37	15687	3793	48	19	0	0	0	12	12	5	1158928272
89	26	17	89	38	75	6386	38	19	0	0	0	9	9	5	1260141280
86	27	40	144	41	183	5693	46	16	0	0	0	9	9	5	2125827120
22	13	26	107	18	131	2085	21	10	0	0	0	9	9	3	395326880
88	30	20	13496	43	15360	12969	45	24	0	0	0	14	14	5	2030815776
36	16	30	107	25	132	2107	27	11	0	0	0	9	9	3	1167263488
44	19	20	13343	26	16056	2436	27	14	0	0	0	14	14	3	4236030064
119	24	18	26621	38	31611	7045	73	21	0	0	0	13	13	5	19194688
62	21	24	160	31	216	3385	35	45	0	0	0	10	10	5	707265360
79	24	36	13649	39	14930	4183	47	19	0	0	0	11	11	5	2017656128
