#The local date and time: 	Fri May 14 16:12:40 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
218	126	165	658	107	876	8503	90	34	954219	355980	356847	10	10	5	48136128
36	17	23	12607	28	14695	1717	30	14	302650	349050	360864	10	10	5	27459712
67	24	16	25158	39	29033	4566	47	21	387050	518487	467203	11	11	5	1055443008
58	22	35	13216	37	15509	4150	46	19	388450	511760	465947	9	9	5	1201867456
42	17	43	25939	32	30189	5777	37	17	391246	564767	454720	9	9	5	1578473904
60	16	43	26125	32	29968	2268	36	17	385065	619780	461272	9	9	5	2223073136
26	13	27	112	20	123	2077	24	8	238796	330022	278394	10	10	3	4098946288
86	24	32	175	38	153	6255	45	18	390790	569157	466544	9	9	5	3780264384
47	18	34	38487	30	43394	2252	38	16	386625	624136	464119	9	9	5	3027051488
76	26	26	113	38	124	6170	48	18	393155	452165	467602	10	10	5	1249287344
83	27	30	126	42	126	7824	61	19	391177	508574	479669	9	9	5	3939643504
109	26	26	113	38	125	6176	47	18	391984	446894	468177	9	9	5	257099840
83	30	27	114	43	128	6366	43	19	385407	456354	468500	9	9	5	3559879632
40	16	33	25772	29	29658	3434	29	13	314065	365952	365566	10	10	4	129896320
78	23	15	69	34	67	6975	46	21	315437	358574	373422	9	9	5	2322078912
132	27	18	13408	44	14996	6152	50	22	384176	451721	469630	9	9	5	608033680
81	26	17	25369	42	28754	5643	50	21	388877	453788	471004	9	9	5	1520625696
39	17	25	12896	28	14685	2768	33	16	368393	499735	464428	9	9	5	2906484672
45	14	9	25322	21	28778	2700	26	12	234459	322291	277126	9	9	3	2378152480
38	12	14	12972	18	15037	8150	20	8	155411	182187	183664	9	9	2	2114459472
75	24	28	113	33	124	6188	51	19	392552	506989	469801	9	9	5	434903280
53	18	31	12638	29	14966	4475	37	21	393597	560424	469566	11	11	5	2097007168
43	30	23	37757	28	43069	4619	49	37	378171	507899	464867	10	10	5	3323541520
90	17	31	38866	29	43387	5156	41	16	391216	450993	456513	9	9	5	1404519712
41	13	20	12625	20	14383	3874	26	14	233293	332200	280343	40	40	3	300156416
49	19	25	80	31	105	3220	34	15	310604	472707	374044	9	9	4	4149788080
31	10	17	12956	16	14901	6849	18	9	155973	179443	187214	9	9	2	122813568
52	21	24	106	32	104	2754	40	14	234404	272900	278321	9	9	3	1947997600
43	12	18	58	19	70	7086	22	10	152733	178082	185095	9	9	2	2860589616
44	15	20	13689	31	14987	2934	31	14	238416	270350	281769	9	9	3	1035405584
34	14	19	12947	19	14903	6732	27	12	242653	277885	287655	6	6	3	3922312016
66	21	16	87	35	75	3210	36	16	251606	279451	293856	10	10	5	148207616
117	30	20	13813	44	15864	4680	50	24	410768	467374	478007	10	10	5	3081393152
81	25	24	13546	42	15528	5816	66	23	398027	461807	486223	10	10	5	64965360
